Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Additional_Notes
scaffolds_gt1000bp_ERR2597525.bin.37	12.77	0.2	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.38	5.04	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.39	40.42	5.67	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.4	15.84	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.40	83.36	0.39	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.41	28.69	1.37	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.42	68.09	3.28	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.43	14.26	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.44	36.82	1.55	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.45	25.04	0.39	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.46	82.97	0.99	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.47	11.55	0.32	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.48	7.8	0.03	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.49	68.28	6.78	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.5	8.3	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.50	4.94	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.51	18.91	0.07	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.52	70.82	1.81	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.53	34.1	0.06	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.54	45.69	7.6	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.55	6.11	0.06	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.56	73.46	6.28	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.57	32.49	0.95	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.58	51.23	15.48	Gradient Boost (General Model)	11	Low confidence prediction - substantial (36%) disagreement between completeness prediction models
scaffolds_gt1000bp_ERR2597525.bin.59	77.78	1.33	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.6	9.48	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.60	27.74	0.4	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.61	94.58	1.3	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.62	64.08	3.57	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.63	8.74	0.04	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.64	45.07	6.62	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.65	81.8	1.64	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.66	80.94	5.53	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.67	73.05	6.03	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.68	27.08	0.59	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.69	65.33	25.85	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.7	74.73	4.52	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.70	35.94	0.34	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.71	33.72	0.82	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.72	37.38	0.02	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.73	17.52	0.06	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.74	44.87	1.32	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.75	10.98	0.07	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.76	18.89	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.77	29.57	0.22	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.78	47.64	2.15	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.79	91.62	36.42	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.8	13.64	1.51	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.80	43.03	0.26	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.81	83.89	5.3	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.82	72.89	4.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.83	11.37	0.04	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.84	67.27	2.97	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.85	38.63	0.67	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.86	53.8	3.52	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.87	84.11	2.21	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.88	73.22	17.61	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.89	6.94	0.03	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.9	60.68	1.65	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.90	26.89	0.15	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.91	10.33	0.2	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.92	11.0	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.93	64.85	28.89	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.94	41.87	2.48	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.95	79.07	1.61	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.96	41.88	0.47	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.97	55.59	2.06	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.98	7.86	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.99	100.0	118.79	Gradient Boost (General Model)	11	None
